Name,ID,Team
MS Dhoni,28081,Chennai Super Kings
Srikkanth Anirudha,26798,Chennai Super Kings
S Badrinath,26806,Chennai Super Kings
George Bailey,4451,Chennai Super Kings
Faf du Plessis,44828,Chennai Super Kings
Michael Hussey,5939,Chennai Super Kings
Abhinav Mukund,302582,Chennai Super Kings
Suresh Raina,33335,Chennai Super Kings
Wriddhiman Saha,279810,Chennai Super Kings
Kuthethurshri Vasudevadas,35724,Chennai Super Kings
Murali Vijay,237095,Chennai Super Kings
Ravichandran Ashwin,26421,Chennai Super Kings
Dwayne Bravo,51439,Chennai Super Kings
Ravindra Jadeja,234675,Chennai Super Kings
Joginder Sharma,29976,Chennai Super Kings
Yo Mahesh,31732,Chennai Super Kings
Albie Morkel,46248,Chennai Super Kings
Scott Styris,38407,Chennai Super Kings
Ganapathi Vignesh,35746,Chennai Super Kings
Doug Bollinger,4508,Chennai Super Kings
Ben Hilfenhaus,5941,Chennai Super Kings
Shadab Jakati,29655,Chennai Super Kings
Nuwan Kulasekara,49535,Chennai Super Kings
Suraj Randiv,50438,Chennai Super Kings
Sudeep Tyagi,317784,Chennai Super Kings
Kumar Sangakkara,50710,Deccan Chargers
Darren Bravo,277472,Deccan Chargers
Bharat Chipli,27685,Deccan Chargers
Kedar Devdhar,340063,Deccan Chargers
Shikhar Dhawan,28235,Deccan Chargers
Ishank Jaggi,279554,Deccan Chargers
Abhishek Jhunjhunwala,29702,Deccan Chargers
Chris Lynn,326637,Deccan Chargers
Tanmay Mishra,24790,Deccan Chargers
Parthiv Patel,32242,Deccan Chargers
Dwaraka Ravi Teja,237701,Deccan Chargers
Akshath Reddy,376109,Deccan Chargers
Sunny Sohal,228943,Deccan Chargers
Tanmay Srivastava,35401,Deccan Chargers
Cameron White,8291,Deccan Chargers
Arjun Yadav,36110,Deccan Chargers
Ashish Reddy,389605,Deccan Chargers
Dan Christian,4864,Deccan Chargers
Jean-Paul Duminy,44932,Deccan Chargers
Biplab Samantray,430125,Deccan Chargers
Anand Rajan,26797,Deccan Chargers
Ankit Sharma,422992,Deccan Chargers
Tekkami Atchuta Rao,340014,Deccan Chargers
Akash Bhandari,446495,Deccan Chargers
Manpreet Gony,317293,Deccan Chargers
Amit Mishra,31107,Deccan Chargers
